site,lat,long,year,month,ppt
BM,36.06,-118.39,1954,7,1.26699995994568
BM,36.06,-118.39,1954,8,0
BM,36.06,-118.39,1954,9,0
BM,36.06,-118.39,1954,10,0
BM,36.06,-118.39,1954,11,72.193000793457
BM,36.06,-118.39,1954,12,96.3639984130859
BM,36.06,-118.39,1955,1,161.623992919922
BM,36.06,-118.39,1955,2,101.112998962402
BM,36.06,-118.39,1955,3,6.31500005722046
BM,36.06,-118.39,1955,4,79.875
BM,36.06,-118.39,1955,5,46.7159996032715
BM,36.06,-118.39,1955,6,0
BM,36.06,-118.39,1955,7,0
BM,36.06,-118.39,1955,8,0
BM,36.06,-118.39,1955,9,0
BM,36.06,-118.39,1955,10,0
BM,36.06,-118.39,1955,11,84.7109985351562
