site,lat,long,year,month,td_mean
BM,36.06,-118.39,1943,11,-8.49100017547607
BM,36.06,-118.39,1943,12,-8.61100006103516
BM,36.06,-118.39,1944,1,-10.9259996414185
BM,36.06,-118.39,1944,2,-8.60099983215332
BM,36.06,-118.39,1944,3,-11.4580001831055
BM,36.06,-118.39,1944,4,-8.58399963378906
BM,36.06,-118.39,1944,5,-4.13500022888184
BM,36.06,-118.39,1944,6,-1.27300000190735
BM,36.06,-118.39,1944,7,0.751999974250793
BM,36.06,-118.39,1944,8,-0.554000020027161
BM,36.06,-118.39,1944,9,-2.15499997138977
BM,36.06,-118.39,1944,10,-3.99300003051758
BM,36.06,-118.39,1944,11,-6.19899988174438
BM,36.06,-118.39,1944,12,-9.5959997177124
BM,36.06,-118.39,1945,1,-12.1389999389648
BM,36.06,-118.39,1945,2,-8.86900043487549
BM,36.06,-118.39,1945,3,-10.1800003051758
BM,36.06,-118.39,1945,4,-9.20499992370605
BM,36.06,-118.39,1945,5,-3.80699992179871
BM,36.06,-118.39,1945,6,-1.08500003814697
BM,36.06,-118.39,1945,7,3.24499988555908
BM,36.06,-118.39,1945,8,0.834999978542328
BM,36.06,-118.39,1945,9,-1.9889999628067
BM,36.06,-118.39,1945,10,-3.43799996376038
BM,36.06,-118.39,1945,11,-6.82100009918213
BM,36.06,-118.39,1945,12,-9.4060001373291
BM,36.06,-118.39,1947,1,-14.4899997711182
BM,36.06,-118.39,1947,2,-8.23900032043457
BM,36.06,-118.39,1947,3,-7.73099994659424
BM,36.06,-118.39,1947,4,-7.10799980163574
BM,36.06,-118.39,1947,5,-3.13700008392334
BM,36.06,-118.39,1947,6,0.0900000035762787
BM,36.06,-118.39,1947,7,2.06599998474121
BM,36.06,-118.39,1947,8,1.85699999332428
BM,36.06,-118.39,1947,9,-1.91799998283386
BM,36.06,-118.39,1947,10,-2.78699994087219
BM,36.06,-118.39,1947,11,-9.46700000762939
BM,36.06,-118.39,1947,12,-10.91100025177
BM,36.06,-118.39,1948,1,-12.7690000534058
BM,36.06,-118.39,1948,2,-10.6169996261597
BM,36.06,-118.39,1948,3,-10.8669996261597
BM,36.06,-118.39,1948,4,-6.91499996185303
BM,36.06,-118.39,1948,5,-4.82399988174438
BM,36.06,-118.39,1948,6,1.67299997806549
BM,36.06,-118.39,1948,7,0.912999987602234
BM,36.06,-118.39,1948,8,-1.16400003433228
BM,36.06,-118.39,1948,9,-2.46499991416931
BM,36.06,-118.39,1948,10,-2.30699992179871
BM,36.06,-118.39,1948,11,-9.44999980926514
BM,36.06,-118.39,1948,12,-10.0010004043579
BM,36.06,-118.39,1950,1,-12.7869997024536
BM,36.06,-118.39,1950,2,-6.68499994277954
BM,36.06,-118.39,1950,3,-10.2170000076294
BM,36.06,-118.39,1950,4,-6.12400007247925
BM,36.06,-118.39,1950,5,-3.40899991989136
BM,36.06,-118.39,1950,6,-3.23900008201599
BM,36.06,-118.39,1950,7,6.57800006866455
BM,36.06,-118.39,1950,8,-0.479999989271164
BM,36.06,-118.39,1950,9,-1.91999995708466
BM,36.06,-118.39,1950,10,-3.10999989509583
BM,36.06,-118.39,1950,11,-5.07600021362305
BM,36.06,-118.39,1950,12,-8.48400020599365
BM,36.06,-118.39,1951,1,-9.52099990844727
BM,36.06,-118.39,1951,2,-8.41100025177002
BM,36.06,-118.39,1951,3,-11.8690004348755
BM,36.06,-118.39,1951,4,-3.35199999809265
BM,36.06,-118.39,1951,5,-2.16799998283386
BM,36.06,-118.39,1951,6,0.0390000008046627
BM,36.06,-118.39,1951,7,2.59500002861023
BM,36.06,-118.39,1951,8,0.779999971389771
BM,36.06,-118.39,1951,9,-4.04500007629395
BM,36.06,-118.39,1951,10,-6.2480001449585
